,x_in,y_in,change,x_fin
47981,240,-80,2,-120
47985,240,140,2,100
47989,240,-120,2,-160
47993,240,160,2,120
47997,240,-120,2,-160
48001,-240,-180,1,220
48005,-240,-140,1,180
48009,-240,140,1,-100
48013,-240,240,1,-200
48017,-240,-100,1,140
48021,-240,240,1,-200
48025,-240,200,1,-160
48029,-240,240,1,-200
48033,-240,-140,1,180
48037,-240,120,1,-80
48041,-240,80,1,-40
48045,-240,220,1,-180
48049,-240,120,1,-80
48053,-240,120,1,-80
48057,-240,-100,1,140
48061,-240,0,1,40
48065,-240,80,1,-40
48069,-240,200,1,-160
48073,-240,260,1,-220
48077,-240,-160,1,200
48081,-240,-100,1,140
48085,-240,280,1,-240
48089,-240,80,1,-40
48093,240,-180,2,-220
48097,240,120,2,80
48101,240,-120,2,-160
48105,240,260,2,220
48109,240,200,2,160
48113,240,-160,2,-200
48117,240,280,2,240
48121,240,40,2,0
48125,240,220,2,180
48129,240,-100,2,-140
48133,240,-160,2,-200
48137,240,-80,2,-120
48141,240,-60,2,-100
48145,240,20,2,-20
48149,240,0,2,-40
48153,240,0,2,-40
48157,240,40,2,0
48161,240,240,2,200
48165,240,140,2,100
48169,240,0,2,-40
48173,240,240,2,200
48177,240,-20,2,-60
48181,240,40,2,0
48185,240,80,2,40
48189,240,-160,2,-200
48193,240,180,2,140
48197,240,0,2,-40
48201,240,-40,2,-80
48205,240,-120,2,-160
48209,240,240,2,200
48213,-240,-180,1,220
48217,-240,160,1,-120
48221,-240,40,1,0
48225,-240,0,1,40
48229,-240,160,1,-120
48233,-240,160,1,-120
48237,-240,-140,1,180
48241,-240,200,1,-160
48245,-240,220,1,-180
48249,-240,-40,1,80
48253,-240,-160,1,200
48257,-240,220,1,-180
48261,-240,-100,1,140
48265,-240,-40,1,80
48269,-240,240,1,-200
48273,-240,140,1,-100
48277,-240,0,1,40
48281,-240,-40,1,80
48285,-240,180,1,-140
48289,-240,100,1,-60
48293,-240,0,1,40
48297,-240,280,1,-240
48301,-240,0,1,40
48305,-240,-120,1,160
48309,-240,160,1,-120
48313,-240,260,1,-220
48317,-240,180,1,-140
48321,-240,280,1,-240
48325,-240,60,1,-20
48329,-240,-40,1,80
48333,-240,140,1,-100
48337,-240,220,1,-180
48341,-240,20,1,20
48345,240,-180,2,-220
48349,240,200,2,160
48353,240,200,2,160
48357,240,200,2,160
48361,240,80,2,40
48365,240,240,2,200
48369,240,280,2,240
48373,240,-140,2,-180
48377,240,20,2,-20
48381,240,100,2,60
48385,240,180,2,140
48389,240,260,2,220
48393,240,160,2,120
48397,240,180,2,140
48401,240,180,2,140
48405,240,240,2,200
48409,240,200,2,160
48413,240,-140,2,-180
48417,240,100,2,60
48421,240,-40,2,-80
48425,240,120,2,80
48429,240,240,2,200
48433,240,220,2,180
48437,-240,-180,1,220
48441,-240,200,1,-160
48445,-240,200,1,-160
48449,-240,-140,1,180
48453,-240,240,1,-200
48457,-240,220,1,-180
48461,240,-180,2,-220
48465,240,280,2,240
48469,240,-40,2,-80
48473,240,40,2,0
48477,240,160,2,120
48481,240,-20,2,-60
48485,-240,-180,1,220
48489,-240,-120,1,160
48493,-240,60,1,-20
48497,-240,-160,1,200
48501,-240,200,1,-160
48505,-240,240,1,-200
48509,-240,20,1,20
48513,-240,260,1,-220
48517,-240,-80,1,120
48521,-240,280,1,-240
48525,-240,-120,1,160
48529,-240,-160,1,200
48533,-240,-140,1,180
48537,240,-180,2,-220
48541,240,60,2,20
48545,240,120,2,80
48549,240,200,2,160
48553,240,280,2,240
48557,240,-80,2,-120
48561,240,180,2,140
48565,240,-120,2,-160
48569,240,180,2,140
48573,240,-100,2,-140
48577,240,160,2,120
48581,240,-20,2,-60
48585,240,240,2,200
48589,240,-100,2,-140
48593,240,-80,2,-120
48597,240,180,2,140
48601,240,-60,2,-100
48605,240,140,2,100
48609,240,200,2,160
48613,240,200,2,160
48617,240,100,2,60
48621,240,-140,2,-180
48625,240,100,2,60
48629,-240,-180,1,220
48633,-240,100,1,-60
48637,-240,120,1,-80
48641,-240,-160,1,200
48645,-240,200,1,-160
48649,-240,260,1,-220
